WATERBODY_IDENTIFIER,GAZETTED_NAME,Requested Location (Alias),AREA_HA,PERIMETER_M,ELEVATION_M,LONGITUDE,LATITUDE,DD5,MAP,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,CountOfSPECIES_NAME,Fishery Objective,Region,assessed_wbid,ID
00903BRID,BRIDGE LAKE,BRIDGE,1366.313857,47399.4372,1136,-120.7301343,51.4962324,1007,557,0,1,4,22,94,193,266,259,124,41,3,0,12,Family,5,,596
01492TWAC,BUCHANAN LAKE,BUCHANAN,20.97637508,2930.1629,1020,-121.7998784,52.21122693,1120,548,0,1,5,28,114,208,288,277,148,48,3,0,5,Research-Regional,5,01492TWAC,597
01071MFRA,CHIMNEY LAKE,CHIMNEY,429.9077405,14276.3429,871,-121.9634186,51.91697647,1279,447,0,1,7,37,139,237,324,303,171,55,4,0,8,Family,5,,598
02346QUES,COOK LAKE,COOK(LITTLE SOLOMON),15.47280406,1929.7409,925,-121.779624,52.3511263,1196,545,0,1,5,32,125,224,304,293,158,51,4,0,1,Trophy,5,,599
00406NAZR,CRATER LAKE,CRATER,9.80895064,1173.1118,1347,-123.6922387,52.86408432,717,556,0,0,2,10,51,127,209,204,88,25,1,0,1,Regional,5,,600
01630NARC,CUISSON LAKE,CUISSON,170.057269,11987.9583,868,-122.3139496,52.4856627,1266,496,0,1,6,36,137,235,321,304,168,54,4,0,5,Regional,5,,601
02184LCHR,,DANTE'S INFERNO(DANTES INFERNO),8.17705548,1127.9097,811,-122.8701954,51.8891672,1388,380,0,1,7,47,158,251,342,328,192,59,4,0,1,Quality,5,,602
00154BRID,DEKA LAKE,DEKA,1147.054603,35567.9184,1111,-120.8059644,51.61942397,1037,545,0,1,4,24,99,198,269,264,132,42,3,0,8,Family,5,,603
00003SAJR,DEWAR LAKE,DEWAR,42.7517527,3497.2316,988,-121.8656208,52.19661931,1160,522,0,1,5,30,119,216,297,285,154,49,3,0,2,Regional,5,,604
00289DOGC,,DOG,9.3448038,1688.6821,1135,-122.0579726,51.57602529,1055,499,0,1,4,24,102,195,279,264,141,42,3,0,1,No Objective,5,,605
01806MAHD,DONNELY LAKE,DONNELY,101.499274,6443.2486,1166,-120.6737984,51.75510862,983,600,0,1,4,21,92,187,261,253,124,38,3,0,3,Trophy,5,,606
01535MAHD,,DOR,28.67166104,2953.7056,881,-121.0060397,51.86835873,1204,506,0,1,6,34,129,232,302,289,156,51,4,0,5,Regional,5,,607
02030QUES,DORSEY LAKE,DORSEY,15.11808871,1751.907,848,-121.7979568,52.45644009,1272,541,0,1,6,37,135,236,323,303,169,56,4,0,1,Regional,5,,608
00067QUES,DRAGON LAKE,DRAGON,538.2407191,16465.7431,598,-122.4199582,52.94919705,1425,554,0,1,9,50,169,265,350,327,185,64,4,0,3,Trophy,5,00067QUES,609
00051SAJR,DUGAN LAKE,DUGAN,94.48169944,3991.4398,922,-121.904199,52.16988268,1236,499,0,1,5,34,131,229,316,297,165,54,4,0,3,Regional,5,,610
01946LCHR,EAGLE LAKE,EAGLE,1184.684165,29360.9913,1049,-124.3870773,51.91361591,960,423,0,1,3,22,87,172,256,245,131,41,2,0,2,Regional,5,,611
00298BRID,EARLE LAKE,EARLE,57.83667613,3445.6231,1083,-121.0939498,51.62722393,1054,494,0,1,4,25,102,202,275,264,134,43,3,0,2,Trophy,5,,612
00426BRID,EDMUND LAKE,EDMUND,101.2591187,12966.8491,1194,-121.3974512,51.59529909,1008,503,0,1,4,22,94,191,269,256,128,40,3,0,2,Regional,5,,613
01978QUES,ELK LAKE,ELK(ISLAND),48.92525634,4225.3282,833,-122.0612397,52.47275195,1267,518,0,1,6,38,137,235,320,301,168,56,4,0,2,Regional,5,,614
00802BRID,FAULKNER LAKE,FAULKNER,18.62437609,1939.7303,1216,-120.6058498,51.53536242,931,620,0,1,3,18,81,177,248,247,117,37,3,0,1,Regional,5,,615
00737BRID,FAWN LAKE,FAWN,48.82645332,4906.1321,1102,-120.9805674,51.55198087,1038,511,0,1,4,24,100,199,271,261,133,42,3,0,3,Regional,5,,616
00934MFRA,FELKER LAKE,FELKER,200.0221048,7352.4082,861,-122.0018587,51.95161982,1313,451,0,1,7,39,144,242,329,313,177,58,4,0,6,Regional,5,,617
02415NARC,,FIR,90.62293479,5365.7216,1195,-122.8515662,52.26095351,922,486,0,0,3,18,81,175,257,238,115,33,2,0,1,Quality,5,,618
01976QUES,FIRE LAKE,FIRE,15.06993351,1675.0539,1066,-121.7260449,52.47098341,1097,611,0,1,4,26,106,205,288,276,143,45,3,0,1,Regional,5,,619
01691BLAR,FISHPOT LAKE,FISHPOT,87.03807966,4605.8909,1001,-123.7838984,52.950912,964,523,0,0,3,20,84,178,267,249,123,37,2,0,10,Regional,5,,620
00849TWAC,FOREST LAKE,FOREST,98.07709574,5757.5149,928,-122.0376063,52.2941503,1202,510,0,1,5,32,125,224,305,293,160,52,4,0,2,Trophy,5,,621
02052MAHD,FRENCH LAKE,FRENCH,58.79374616,3824.3029,1142,-120.7638297,51.59296957,1012,568,0,1,4,22,95,192,265,261,127,41,3,0,5,Quality,5,,622
01317MFRA,,GARDNER,11.40441813,1756.7255,987,-121.8842835,51.86066602,1154,461,0,1,6,30,118,217,297,283,151,47,3,0,1,Regional,5,,623
00596HORS,GREEN LAKE,GREEN(LITTLE GREEN),10.43211874,1352.3682,883,-121.3561911,52.29032836,1201,568,0,1,6,33,126,227,304,292,156,52,4,0,1,Regional,5,,624
01604MAHD,GREENLEE LAKE,GREENLEE,27.11311355,2914.7073,900,-120.8877967,51.84109129,1192,507,0,1,6,34,129,229,299,286,154,50,4,0,3,Regional,5,,625
01476SAJR,GREENY LAKE,GREENY(GREENE),72.5266859,6488.3256,941,-121.338405,51.85080167,1191,477,0,1,6,32,126,229,300,288,154,51,4,0,4,Regional,5,,626
00439DOGC,GUSTAFSEN LAKE,GUSTAFSEN,145.3847229,7894.2835,1079,-121.7213644,51.53862332,1091,441,0,1,5,27,108,207,286,269,140,44,3,0,2,Regional,5,,627
00191BRID,HATHAWAY LAKE,HATHAWAY,148.7423855,9322.4068,1119,-120.834673,51.65687802,1028,562,0,1,4,23,98,196,269,262,131,42,3,0,5,Regional,5,,628
01769SAJR,HELENA LAKE,HELENA,238.449404,13598.7186,954,-121.6422405,51.79098495,1194,453,0,1,6,33,126,227,302,288,156,51,4,0,2,Regional,5,,629
01929QUES,HEN INGRAM LAKE,HEN INGRAM(9 MILE),353.2922868,21407.4661,909,-120.9848138,52.4606953,1191,662,0,1,5,32,123,223,301,290,159,50,4,0,2,Quality,5,,630
00299BRID,HIGGINS LAKE,HIGGINS(HIGGENS LAKE),20.17215779,2207.4024,1137,-120.8933253,51.62410481,1011,536,0,1,4,23,95,194,264,258,128,41,3,0,1,Family,5,,631
00051HOMA,HORN LAKE,HORN,189.3158361,9780.5479,936,-124.7040485,51.7957739,1082,397,0,1,5,28,103,197,278,269,151,48,3,0,4,Regional,5,,632
00378BRID,HORSE LAKE,HORSE,1215.459365,31074.6424,991,-121.1077757,51.58750422,1133,468,0,1,5,30,116,217,289,277,145,48,3,0,14,Family,5,,633
01675MAHD,HOWARD LAKE,HOWARD,174.6490448,11453.6704,943,-120.7905363,51.81246743,1166,527,0,1,5,32,124,224,293,284,149,48,4,0,1,Regional,5,,634
02233QUES,HOWES LAKE,HOWES,62.59949831,4093.3783,999,-122.1333583,52.38364275,1131,539,0,1,5,28,115,209,291,281,149,48,3,0,4,Quality,5,,635
00983COTR,HUSH LAKE,HUSH,5.10224763,915.2306,840,-122.3600497,53.15235809,1154,620,0,1,5,30,120,218,298,284,148,48,3,0,3,Family,5,,636
00783BRID,IRISH LAKE,IRISH(IRIS),23.44474409,2235.3231,1174,-121.1695204,51.54809016,991,495,0,1,4,21,92,188,264,254,126,39,3,0,2,Quality,5,,637
02099QUES,JACKSON LAKE,JACKSON(JACK'S HOLE),31.75571291,3513.4729,896,-122.0661601,52.43253676,1215,528,0,1,6,34,129,227,306,294,162,53,4,0,2,Family,5,,638
01449GRNL,JIM LAKE,JIM,125.3981279,6187.1934,1161,-121.1163914,51.40012198,1001,511,0,1,4,23,93,191,265,253,128,39,3,0,4,Quality,5,,639
01092BBAR,,KELLY,42.23956296,3485.4206,1066,-121.7797737,51.004906,1223,457,0,1,6,32,122,226,317,303,166,47,3,0,2,Regional,5,,640
00238TWAC,KESTREL LAKE,KESTREL,76.40844458,4698.6177,946,-122.146583,52.43855226,1182,524,0,1,5,31,124,220,301,290,156,51,4,0,2,Trophy,5,,641
01811QUES,KLINNE LAKE,KLINNE,20.04121704,2753.9046,816,-121.1243241,52.51269297,1262,557,0,1,6,38,135,235,318,300,168,55,5,0,1,Regional,5,,642
01037MAHD,,LAKE #6067,36.8076545,2796.1064,972,-121.1225316,51.97603784,1138,544,0,1,5,30,118,218,289,278,148,47,4,0,1,Regional,5,,643
00458DOGC,,LAKE 5565(PIGEON LAKE #3),5.76527004,1586.7401,1101,-121.8709283,51.54849703,1069,445,0,1,5,25,104,202,282,266,139,42,3,0,1,Regional,5,,644
00840BBAR,LITTLE BIG BAR LAKE,LITTLE BIG BAR(LAKE #5117),39.25438646,3707.6615,1050,-121.9177249,51.35317556,1114,405,0,1,5,27,110,210,291,275,144,46,3,0,2,Regional,5,,645
00779SAJR,,LITTLE JONES,17.52187336,1809.9921,963,-121.7516957,52.06462458,1217,513,0,1,5,34,130,226,306,294,163,52,4,0,2,Trophy,5,,646
01824MAHD,LORIN LAKE,LORIN(AIRPLANE),222.8798885,12684.2062,1278,-120.616718,51.74266418,893,623,0,1,3,17,76,169,243,237,112,34,2,0,1,Regional,5,,647
00064BRID,LOWER LAKE,LOWER,15.07105079,2370.9581,921,-121.1727923,51.75366508,1173,481,0,1,6,33,121,226,296,284,149,52,4,0,2,Regional,5,,648
02532NAZR,MACKILL LAKE,MACKILL,54.26294598,3997.6752,1172,-123.3014065,52.32979152,893,437,0,0,3,17,78,167,251,235,109,32,2,0,1,Regional,5,,649
00319NAZR,MARMOT LAKE,MARMOT,54.67279934,4418.0004,840,-123.5671785,52.92339919,1122,505,0,1,4,28,113,212,295,274,145,46,2,0,1,Regional,5,,650
00839MFRA,MCINTYRE LAKE,MCINTYRE,16.43839988,2121.5504,914,-122.3485768,51.97382996,1252,422,0,1,6,35,133,232,316,302,170,53,4,0,3,Family,5,,651
00295TWAC,MCLEESE LAKE,MCLEESE,214.5620851,11006.7164,669,-122.303916,52.41866509,1462,470,0,1,8,51,168,270,358,340,194,66,5,0,11,Family,5,,652
00016BRID,MCNEIL LAKE,MCNEIL,89.42237949,7800.2059,1077,-120.7947897,51.76407586,1060,596,0,1,4,25,103,204,275,267,134,43,3,0,3,Quality,5,,653
00111HORS,MELISSA LAKE,MELISSA,58.42834249,6041.9771,919,-121.0251909,52.44445641,1184,652,0,1,5,32,121,222,300,290,158,50,4,0,2,Quality,5,,654
01224COTR,MILBURN LAKE,MILBURN(NINE MILE),17.24095022,2601.5756,817,-122.6805705,53.0228602,1204,564,0,1,5,32,128,227,312,292,155,49,3,0,2,Family,5,,655
01333GRNL,,NOLAN,78.70580966,6505.2636,1084,-121.1379447,51.41728138,1067,474,0,1,5,26,105,203,279,265,137,43,3,0,2,Quality,5,,656
00021HORS,,OSLIE,25.74290745,2873.7596,897,-120.9306467,52.47378283,1198,643,0,1,5,33,125,224,301,292,161,51,4,0,1,Trophy,5,,657
02412NARC,OWEN LAKE,OWEN,244.608131,18955.2516,1202,-122.9169509,52.25905997,906,480,0,0,3,17,79,172,254,236,110,32,2,0,2,Quality,5,,658
01446MAHD,,PADDY,2.86343944,704.5087,928,-120.7579981,51.89127096,1185,532,0,1,6,33,126,228,298,288,154,47,4,0,1,Quality,5,,659
02382NAZR,PALMER LAKE,PALMER,199.671315,9623.9288,1161,-123.2493923,52.35350881,892,444,0,0,3,17,78,168,250,233,109,32,2,0,4,Quality,5,,660
00487DOGC,,PIGEON LAKE # 2(PIGEON #2),22.23502703,2392.9415,1110,-121.8630113,51.54160855,1059,444,0,1,4,25,103,199,280,264,137,42,3,0,1,Regional,5,,661
00525DOGC,,PIGEON LAKE #1,8.64777787,1220.5433,1118,-121.8553527,51.53314659,1054,444,0,1,4,24,102,199,279,263,137,41,3,0,1,Regional,5,,662
00496UDEN,POISON LAKES,POISON LAKES (NORTH)(NORTH POISON LAKE),71.99627018,4740.1879,1081,-125.4675956,52.62882254,827,537,0,0,3,16,68,148,231,215,110,34,2,0,3,Regional,5,,663
00542UDEN,POISON LAKES,POISON LAKES (SOUTH)(SOUTH POISON LAKE),52.1955215,4004.3638,1081,-125.4444388,52.60993805,824,536,0,0,3,16,67,148,230,214,110,34,2,0,4,Quality,5,,664
01498LCHR,PYPER LAKE,PYPER,171.8792412,8471.983,944,-124.1760544,52.04259431,1053,340,0,0,4,25,102,193,277,265,142,42,2,0,7,Unknown,5,,665
01024SAJR,RAIL LAKE,RAIL,223.4215875,7157.713,1094,-121.4705,51.94597189,1082,561,0,1,4,25,106,204,280,274,142,42,3,0,4,Regional,5,,666
01551LCHR,RAVEN LAKE,RAVEN,80.74032097,6748.9448,1253,-122.8764917,52.03832065,910,494,0,0,3,18,79,165,255,237,118,32,2,0,2,Family,5,,667
00059SAJR,RESERVOIR LAKE,RESERVOIR(PGE RESERVOIR),3.43682973,965.5909,798,-122.1009621,52.17186546,1365,471,0,1,7,43,151,250,340,323,184,61,4,0,2,Family,5,,668
01682NARC,RIMROCK LAKE,RIMROCK,46.16969688,3142.0134,869,-122.3233929,52.48352618,1265,496,0,1,6,36,137,235,321,304,167,54,4,0,4,Regional,5,,669
01628MAHD,ROSERIM LAKE,ROSERIM,40.92475241,4166.2021,779,-120.6614646,51.83504905,1334,504,0,1,7,43,152,256,330,315,170,55,4,0,6,Regional,5,,670
01610MAHD,RUTH LAKE,RUTH,319.020325,23589.3516,863,-121.0423151,51.82860353,1216,494,0,1,6,35,131,234,303,291,157,53,4,0,6,Family,5,,671
00439QUES,,SARDINE,0.78260877,358.7773,834,-122.2354771,52.79130914,1231,564,0,1,5,33,133,231,318,298,159,50,3,0,1,Regional,5,,672
01527MAHD,SCHOOLHOUSE LAKE,SCHOOLHOUSE,86.2776576,9289.3922,910,-120.977307,51.8642802,1185,519,0,1,6,32,125,228,298,286,153,50,4,0,1,Trophy,5,,673
00790BRID,SHERIDAN LAKE,SHERIDAN,1639.260334,53921.4326,1116,-120.8944462,51.51550952,1026,521,0,1,4,24,99,196,267,260,130,42,3,0,4,Trophy,5,,674
02116SAJR,SIMON LAKE,SIMON,66.59311256,7016.7221,937,-121.2430298,51.72611283,1177,466,0,1,6,33,123,226,297,285,150,52,4,0,1,Quality,5,,675
00765TWAC,SKULOW LAKE,SKULOW,34.73022524,3013.3362,1049,-121.9005576,52.30844679,1083,558,0,1,4,25,106,204,284,268,143,45,3,0,3,Regional,5,,676
00811TASR,,SLIM,28.05359096,3447.5547,1347,-123.6566908,51.54617509,740,597,0,0,2,12,54,123,204,196,110,35,2,0,1,Trophy,5,,677
01862MFRA,SNAG LAKE,SNAG,70.95972658,6539.4004,1171,-121.7432918,51.66180522,996,492,0,1,4,22,95,189,267,250,127,39,3,0,1,Quality,5,,678
00252BRID,SULPHUROUS LAKE,SULPHUROUS,379.6191482,16128.8691,1113,-120.8482401,51.62984727,1032,545,0,1,4,24,99,197,268,262,131,42,3,0,6,Family,5,,679
00652BRID,,SUMMIT(SUMMIT),19.50424708,2428.8193,1341,-120.6811409,51.55949296,836,661,0,0,2,14,68,157,227,226,105,34,2,0,1,Unknown,5,,680
00001QUES,TEN MILE LAKE,TEN MILE,271.7259698,7885.0549,708,-122.4546005,53.0833856,1293,602,0,1,6,39,146,243,327,303,168,56,4,0,2,Family,5,00001QUES,681
00476MFRA,TILL LAKE,TILL,102.452389,8430.3704,870,-122.3690903,52.03820483,1302,432,0,1,6,38,141,239,327,313,176,56,4,0,6,Regional,5,,682
01451SAJR,TIMOTHY LAKE,TIMOTHY,440.3659311,18953.3604,931,-121.2638325,51.85351205,1191,487,0,1,6,33,126,228,300,288,154,52,4,0,6,Family,5,,683
00126LCHR,,TWO,2.98135319,803.3725,1044,-123.5755931,52.29304256,996,398,0,0,4,22,96,183,268,254,130,37,2,0,3,Regional,5,,684
02197QUES,TYEE LAKE,TYEE,408.1235817,17868.0941,898,-122.0681163,52.36667921,1223,536,0,1,6,34,129,227,312,294,162,54,4,0,6,Family,5,,685
00521BRID,VALENTINE LAKE,VALENTINE,64.31788082,5338.3743,1244,-121.4507556,51.58522766,975,507,0,1,4,20,90,184,263,250,123,38,3,0,1,Quality,5,,686
00896GRNL,WATCH LAKE,WATCH,248.6235134,13611.8018,1077,-121.1033103,51.46048944,1068,477,0,1,5,26,105,204,279,265,136,43,3,0,3,Regional,5,,687
01206BOWR,WENDLE LAKE,WENDLE,2.81983887,692.0952,1304,-121.4988607,53.11717756,838,1002,0,1,2,14,64,155,234,228,106,30,2,0,1,Regional,5,,688
00389DOGC,,WHALE,19.34867539,3300.6037,1155,-121.6637773,51.55630205,1035,462,0,1,4,24,99,196,276,259,133,41,3,0,2,Quality,5,00389DOGC,689
01341MAHD,WHALE LAKE,WHALE(LAKE #6290),29.22790091,3751.2153,887,-120.5721706,51.90887175,1236,574,0,1,6,35,133,238,314,296,159,48,4,0,1,Quality,5,,690
01134EUCH,YIMPAKLUK LAKE,YIMPAKLUK,60.20261863,5261.979,853,-123.7417072,53.26913611,1039,533,0,0,3,23,102,199,281,260,130,39,2,0,3,Quality,5,,691
00075MSTR,ALLAN LAKE,ALLAN,39.32251176,5546.7881,782,-130.0006161,58.43017962,804,459,0,1,4,16,68,168,239,205,82,20,1,0,1,Regional,6,,692
00559BULK,CALL LAKE,CALL,9.3393038,1692.3857,590,-127.0951371,54.76853654,1074,495,0,1,5,29,109,198,279,265,140,46,3,0,1,Regional,6,,693
00750ATLL,COMO LAKE,COMO,42.28091008,2683.2084,748,-133.6775376,59.60483966,722,487,0,1,2,13,52,146,227,187,74,19,1,0,1,Regional,6,,694
00338FRAN,CO-OP LAKE,CO-OP,33.97978093,2694.9168,885,-125.428448,54.18616544,949,537,0,0,3,18,78,173,263,247,128,37,2,0,1,Regional,6,,695
00362BULK,DUCKBILL LAKE,DUCKBILL,10.11710729,1526.4721,557,-127.2917418,55.01813831,1093,598,0,1,5,29,112,203,282,270,142,45,3,0,1,Regional,6,,696
00365BULK,DUCKWING LAKE,DUCKWING,42.36302193,2946.2933,545,-127.2794677,55.01483893,1104,611,0,1,5,30,114,205,284,271,144,46,3,0,1,Regional,6,,697
01414BULK,DUNALTER LAKE,DUNALTER(IRRIGATION),20.61687313,1804.2439,792,-126.7553625,54.4706399,1003,490,0,1,4,23,95,185,270,256,129,39,2,0,3,Regional,6,,698
01321BULK,HELEN LAKE,HELEN,15.67501871,1987.0897,929,-126.6929449,54.49219385,913,603,0,1,3,18,77,167,253,243,117,33,2,0,3,Regional,6,,699
00211FRAN,,KAGER,14.89930122,2464.279,825,-125.7012692,54.23861985,958,592,0,0,3,19,84,173,261,248,128,39,2,0,1,Regional,6,,700
00068MORR,KLINGER LAKE,KLINGER,48.89080119,2999.1375,619,-126.7764695,54.40500403,1082,421,0,1,5,28,109,200,284,267,140,46,3,0,2,Regional,6,,701
00546BULK,LLAMA LAKE,LLAMA,6.53342254,986.5748,947,-126.9075991,54.78652241,834,616,0,0,3,16,67,154,231,225,106,29,2,0,2,Regional,6,,702
01908BULK,LU LAKE,LU,25.29809392,2741.6004,1291,-126.30154,54.20428147,611,679,0,0,1,8,37,103,181,178,79,22,1,0,1,Regional,6,,703
00163LKEL,ONION LAKE,ONION,5.23500458,994.0273,189,-128.5443169,54.31228491,1446,1706,1,4,14,50,154,249,335,339,207,79,11,2,6,Regional,6,,704
00525FRAN,RICHMOND LAKE,RICHMOND,28.03191042,2692.605,712,-125.3058417,54.13662182,1057,502,0,0,3,22,97,198,285,267,140,43,2,0,4,Regional,6,,705
00060BULK,ROSS LAKE,ROSS(SIX MILE),33.68895009,3243.8281,404,-127.5200038,55.25939787,1223,572,0,1,7,40,137,228,303,289,159,54,4,0,3,Family,6,,706
00724BULK,ROUND LAKE,ROUND(LACROIX),193.2840833,5462.3487,583,-126.9246489,54.65672135,1085,472,0,1,5,29,111,200,282,267,142,46,3,0,8,Regional,6,,707
00066STIR,SAWMILL LAKE,SAWMILL,30.05782089,3356.3407,347,-131.1865069,57.90885596,1161,375,0,2,11,39,119,232,304,276,139,36,3,1,1,Regional,6,,708
00614BULK,TYHEE LAKE,TYHEE(MCLURE),370.1071187,10539.5053,521,-127.0361141,54.71304079,1121,473,0,1,5,32,117,206,288,272,147,49,3,0,16,Family,6,,709
01371BULK,VALLEE LAKE,VALLEE(JOHNSON),6.54213979,979.1529,803,-126.7531965,54.48048012,996,509,0,1,4,22,93,184,269,255,128,38,2,0,3,Regional,6,,710
00345KLUM,,WATSON,11.14377082,2161.6905,381,-128.3597316,54.88303831,1277,1040,1,2,9,41,134,229,318,303,176,60,5,1,1,Regional,6,,711
00243PARA,POTHOLE LAKES,43 MILE POTHOLE(POTHOLE LAKES (#1)),17.53114688,1757.9304,694,-123.3791903,55.59450812,1043,656,0,1,6,29,94,216,286,256,115,35,4,1,2,Regional,7A,,712
00263FRAN,ANGLY LAKE,ANGLY,54.35939937,5151.9899,1087,-124.658303,54.23287792,847,671,0,0,2,14,67,153,245,225,109,30,2,0,1,Regional,7A,,713
00001PARS,AZOUZETTA LAKE,AZOUZETTA,93.66427031,8199.0192,875,-122.6125087,55.3859458,908,1427,0,1,5,21,70,185,260,234,98,31,3,1,4,Regional,7A,,714
01353LCHL,BARTON LAKE,BARTON,64.46723517,4128.0684,796,-123.4098692,53.47766021,1129,565,0,1,4,28,119,217,298,276,140,44,2,0,8,Regional,7A,,715
00392LCHL,BERMAN LAKE,BERMAN,43.35973009,6043.5393,805,-123.3309048,53.85516159,1153,615,0,0,3,26,128,223,301,284,141,44,2,0,8,Regional,7A,,716
01262STUR,BOW LAKE,BOW,5.70399713,1291.7927,758,-123.1713319,54.06971393,1178,655,0,0,4,27,133,230,305,290,142,45,2,0,2,Regional,7A,01262STUR,717
00139PARS,BRUCE LAKE,BRUCE,37.57217031,3378.9608,774,-122.9136946,55.14266513,994,830,1,2,6,26,90,199,275,252,109,33,3,1,3,Regional,7A,,718
00287NATR,BURDEN LAKE,BURDEN,240.6670977,13464.7909,740,-123.5566107,55.50659862,998,634,0,1,6,27,88,209,277,246,107,32,4,1,4,Regional,7A,,719
01252STUR,BUTTERFLY LAKE,BUTTERFLY,5.23485686,954.8253,756,-123.1803614,54.07315121,1180,654,0,0,4,27,133,230,305,290,142,45,2,0,2,Regional,7A,01252STUR,720
00120CARP,BUTTERNUT LAKE,BUTTERNUT,32.12623281,3213.6524,726,-123.0952739,55.01349729,1029,719,0,2,6,28,97,208,278,256,114,35,4,1,6,Regional,7A,,721
01240STUR,BYERS LAKE,BYERS,17.48898198,4129.986,752,-123.1941391,54.07568983,1182,652,0,0,4,28,134,230,306,290,143,45,2,0,2,Trophy,7A,,722
00984FRAN,CASEY LAKE,CASEY,29.39615196,3552.4622,908,-125.05453,54.05089555,984,550,0,0,3,20,85,181,269,255,130,38,2,0,1,Quality,7A,00984FRAN,723
01185CHES,CHIEF GRAY LAKE,CHIEF GRAY,33.11316047,3239.6915,926,-124.772263,53.59162615,961,534,0,0,3,18,79,176,265,254,126,39,2,0,2,Trophy,7A,,724
00681COTR,CHUBB LAKE,CHUBB,69.08853394,4196.3269,727,-122.5643075,53.27625519,1243,613,0,1,5,34,137,233,318,296,160,53,3,0,6,Regional,7A,,725
00701BOWR,CLEAR MOUNTAIN LAKES,CLEAR MOUNTAIN,49.20986425,2979.9094,1515,-121.1680933,53.44120574,678,1364,1,3,5,14,43,120,191,196,79,21,4,2,2,Regional,7A,,726
00654NECR,COBB LAKE,COBB,215.930451,8823.6867,771,-123.5409109,53.95126036,1152,590,0,0,4,27,128,223,298,282,142,45,2,0,6,Regional,7A,00654NECR,727
01107CRKD,CRYSTAL LAKE,CRYSTAL,35.66091875,3318.0953,718,-122.6189375,54.41578998,1139,848,0,0,3,24,125,224,296,284,136,43,2,0,3,Regional,7A,,728
00357PARA,DINA LAKES,DINA #1,204.1697805,16652.1299,701,-123.3124149,55.51776889,1044,662,0,1,6,30,96,216,285,257,113,35,4,1,8,Regional,7A,,729
00346PARA,DINA LAKES,DINA #2(LAKE A),26.28089766,3723.9213,713,-123.2959356,55.53630183,1034,667,0,1,6,29,95,214,283,254,112,35,4,1,4,Regional,7A,,730
00369PARA,DINA LAKES,DINA #3,18.51004219,2220.1103,698,-123.285647,55.52279201,1051,669,0,1,6,30,97,216,287,258,114,36,4,1,2,Regional,7A,00369PARA,731
00373PARA,DINA LAKES,DINA #7,6.56191172,979.9266,698,-123.2895033,55.52052619,1051,665,0,1,6,30,97,216,287,258,114,36,4,1,1,Quality,7A,,732
01330LSAL,EENA LAKE,EENA,56.00551184,4766.4384,762,-123.0181293,54.04889516,1176,669,0,1,4,28,132,228,304,289,141,46,2,0,4,Regional,7A,,733
01100CRKD,EMERALD LAKE,EMERALD,13.59909531,1857.2264,727,-122.6070608,54.4257148,1131,854,0,0,3,24,123,222,295,283,135,43,2,0,1,Regional,7A,,734
01352LSAL,FERGUSON LAKE,FERGUSON,12.07658231,1457.8035,763,-122.8457851,54.036861,1175,692,0,0,4,28,132,229,304,289,141,45,2,0,5,Urban,7A,,735
00762PARA,GANTAHAZ LAKE,GANTAHAZ,43.74807422,3664.1824,721,-123.150353,55.37910045,1075,724,0,2,6,30,100,220,291,263,122,37,4,1,4,Regional,7A,,736
00420WILL,GRIZZLY LAKE,GRIZZLY EAST,68.78206324,3798.6664,959,-122.1464728,53.71471988,980,916,0,0,3,20,98,190,262,246,119,40,2,0,1,Regional,7A,00420WILL,737
01078LCHL,,GRIZZLY WEST(GRIZZLY),136.4320346,5943.3823,992,-123.6577984,53.61407119,973,581,0,0,2,18,90,189,270,249,119,34,2,0,2,Regional,7A,,738
00982CRKD,HART LAKE,HART,52.95478828,3810.0423,714,-122.6529155,54.46870246,1142,842,0,0,3,24,124,226,299,284,136,43,2,0,1,Trophy,7A,00982CRKD,739
00926MORK,,HAWK,41.58331558,3481.1135,1494,-121.1362435,53.57930689,694,1488,1,3,5,14,43,124,198,202,78,21,4,2,1,Regional,7A,,740
01210CHES,HOBSON LAKE,HOBSON,64.74121069,3624.8478,906,-124.7311389,53.58034973,975,531,0,0,3,18,83,179,267,256,127,39,2,0,6,Trophy,7A,01210CHES,741
01241STUR,KATHIE LAKE,KATHIE,42.32347041,5868.0245,753,-123.1726868,54.07327282,1181,655,0,0,4,28,133,230,306,290,142,45,2,0,2,Regional,7A,01241STUR,742
00377LCHL,KWITZIL LAKE,KWITZIL(GRAVEL PIT),6.52243136,1511.9762,766,-123.253201,53.86194621,1183,617,0,1,4,29,132,228,306,289,145,46,3,0,2,Family,7A,,743
00972MORK,LA SALLE LAKES,LA SALLE (WEST),11.42273356,2329.8933,861,-120.6764533,53.51943939,1148,904,1,5,15,42,117,217,285,272,137,48,7,2,4,Regional,7A,,744
01185CHIL,,LINTZ,210.7577385,7520.591,949,-123.5960579,53.45034168,989,540,0,0,2,20,94,190,273,252,121,35,2,0,4,Regional,7A,01185CHIL,745
00819LCHL,LITTLE BOBTAIL LAKE,LITTLE BOBTAIL,255.1962436,12560.7082,813,-123.5257475,53.70046831,1122,583,0,0,3,26,121,217,295,275,138,43,2,0,6,Regional,7A,,746
